Номер id;Категория;Логика и выбор;Тип объекта;Операция;Страна
1.     id;Тип помещения;Select + Input (Пентхаус, Апартаменты, Гостинка, Комната, Таунхаус, Другое → появляется Input);Квартира, Частный дом;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
2.     id;Комнат;Select + Input (1, 2, 3, 4, 5, Другое → появляется Input);Квартира, Частный дом;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
3.     id;Спален;Select + Input (1, 2, 3, 4, Другое → появляется Input);Квартира, Частный дом;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
4.     id;Санузлов;Select + Input (1, 2, 3, 4, Другое → появляется Input);Квартира, Частный дом;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
5.     id;Высота потолков;Input (ввод вручную, автоматически добавляется «м»);Квартира, Частный дом, Коммерческое помещение, Здание, Некапитальный объект, Доля в праве;Продажа, Обмен;Россия
6.     id;Планировка;Select + Input (Студия, Раздельные комнаты, Свободная планировка, Другое → появляется Input);Квартира, Частный дом;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
7.     id;Ремонт;Select (Без отделки, В состоянии ремонта, Бюджетный, Базовая отделка, Современный, Дизайнерский);Квартира, Частный дом, Коммерческое помещение, Здание, Доля в праве;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
8.     id;Дата завершения ремонта;Input (ДД.ММ.ГГГГ);Квартира, Частный дом, Коммерческое помещение, Здание, Доля в праве;Продажа, Обмен;Россия
9.     id;Сторона окон;MultiSelect «Сторона окон» (Север, Северо-восток, Восток, Юго-восток, Юг, Юго-запад, Запад, Северо-запад).;Квартира, Частный дом;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
10.  id;Вид из окон;MultiSelect (На море, На горы, На город, На озеро или реку, Во двор);Квартира, Частный дом;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
11.  id;Лифт;Select (Грузовой, Пассажирский, Нет);Квартира, Коммерческое помещение, Здание, Доля в праве;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
12.  id;Фасад;Select + Input (Вентилируемый, Штукатурный, Кирпичный, Сайдинговый, Деревянный, Фиброцементный, Другое → появляется Input);Квартира, Частный дом, Коммерческое помещение, Здание, Некапитальный объект, Доля в праве;Продажа, Обмен;Россия
13.  id;Готовность объекта;Select (Строящийся, Построен);Квартира, Частный дом, Коммерческое помещение, Здание, Доля в праве;Продажа, Обмен;Россия
14.  id;Тип дома;Select + Input (Панельный, Кирпичный, Монолитный, Блочный, Деревянный, Комбинированный, Другое → появляется Input);Квартира, Частный дом, Здание, Доля в праве;Продажа, Обмен;Россия
15.  id;Тип фундамента;Select + Input (Ленточный, Свайный, Монолитный, Плитный, Нет,  Другое → появляется Input);Частный дом;Продажа, Обмен;Россия
16.  id;Год постройки здания;Input (YYYY);Квартира, Частный дом, Коммерческое помещение, Здание, Имущественный комплекс, Некапитальный объект, Доля в праве;Продажа, Аренда, Обмен;Россия
17.  id;Этажность здания;Input (только цифра);Квартира, Частный дом, Коммерческое помещение, Здание, Имущественный комплекс, Некапитальный объект, Доля в праве;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
18.  id;Количество квартир в доме;Input (только цифра);Квартира;Продажа, Обмен;Россия
19.  id;Этаж квартиры / помещения;Input (только цифра);Квартира, Коммерческое помещение;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
20.  id;Подвал;Select (Есть, Нет);Частный дом;Продажа, Обмен;Россия
21.  id;Мансарда;Select (Есть, Нет);Квартира, Частный дом;Продажа, Обмен;Россия
22.  id;Дополнительные постройки;MultiSelect + Input  (Гостевой дом, Гараж, Барбекю-зона, Баня, Беседка , Склад, Теплица, Сарай, Другое → появляется Input);Частный дом;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
23.  id;Электропитание;MultiSelect (220, 380);Все;Продажа, Обмен;Россия
24.  id;Пиковая мощность;Input (кВт);Все;Продажа, Обмен;Россия
25.  id;Тип отопления;MultiSelect + Input (Электрическое, Твердотопливное, Газовое,  Нет, Другое → появляется Input);Квартира, Частный дом, Коммерческое помещение, Здание, Имущественный комплекс, Некапитальный объект, Доля в праве;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
26.  id;Отопительные приборы;MultiSelect + Input (Центральные, Электрические, Водяные, Другое → появляется Input);Квартира, Частный дом, Коммерческое помещение, Здание, Имущественный комплекс, Некапитальный объект, Доля в праве;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
27.  id;Холодная вода;Select (Централизованная, Скважина, Колонка, Нет);Все;Продажа, Обмен;Россия
28.  id;Горячая вода;MultiSelect (Централизованная, Бойлер, Проточный, Нет);Все;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
29.  id;Тип канализации;Select (Централизованная, Септик, Выгребная яма, Без канализации);Все;Продажа, Обмен;Россия
30.  id;Кондиционер;Select (1,2,3,4,5, Нет);Квартира, Частный дом, Коммерческое помещение;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
